Job ID;Description ;Submitted ;Duration;Stages: Succeeded/Total;Tasks (for all stages): Succeeded/Total;Version
17;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:78";16/03/2021 10:00;12;3/3 (10 skipped);6/6 (20 skipped) ;zip
16;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:78";16/03/2021 10:00;21;3/3 (8 skipped);6/6 (16 skipped) ;zip
15;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:78";16/03/2021 09:56;234;3/3 (6 skipped);6/6 (12 skipped) ;zip
14;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:78";16/03/2021 09:49;444;3/3 (4 skipped);6/6 (8 skipped) ;zip
13;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:78";16/03/2021 09:43;312;3/3 (2 skipped);6/6 (4 skipped) ;zip
12;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:78";16/03/2021 09:40;174;03-mars;06-juin;zip
11;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:36";16/03/2021 09:40;12;3/3 (10 skipped);6/6 (20 skipped) ;min
10;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:36";16/03/2021 09:40;21;3/3 (8 skipped);6/6 (16 skipped) ;min
9;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:36";16/03/2021 09:36;234;3/3 (6 skipped);6/6 (12 skipped) ;min
8;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:36";16/03/2021 09:29;444;3/3 (4 skipped);6/6 (8 skipped) ;min
7;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:36";16/03/2021 09:23;330;3/3 (2 skipped);6/6 (4 skipped) ;min
6;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:36";16/03/2021 09:20;180;03-mars;06-juin;min
5;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120";16/03/2021 09:10;12;3/3 (10 skipped);6/6 (20 skipped) ;sorted
4;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120";16/03/2021 09:09;22;3/3 (8 skipped);6/6 (16 skipped) ;sorted
3;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120";16/03/2021 09:05;234;3/3 (6 skipped);6/6 (12 skipped) ;sorted
2;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120";16/03/2021 08:58;450;3/3 (4 skipped);6/6 (8 skipped) ;sorted
1;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120";16/03/2021 08:52;336;3/3 (2 skipped);6/6 (4 skipped) ;sorted
0;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120";16/03/2021 08:49;192;03-mars;06-juin;sorted